BCUT2D_LOGPLOW,PEOE_VSA11,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,SMR_VSA10,SMR_VSA2,TPSA,NumAliphaticCarbocycles,NumAromaticCarbocycles,Value
-2.200508,5.647177,19.277893,13.171246,5.098682,34.086464,0.0,84.21,0.0,1.0,5.4
-2.439808,0.0,4.9839787,4.9839787,0.0,28.356514,0.0,49.22,1.0,1.0,7.0
-2.4282634,0.0,14.762494,0.0,0.0,28.569765,0.0,109.87,0.0,1.0,7.09
-2.046824,15.597501,13.401775,0.0,0.0,33.14024,0.0,81.43,0.0,2.0,6.19
-2.3083715,0.0,13.139892,0.0,0.0,39.13235,0.0,63.24,0.0,2.0,5.89
-2.3028412,11.499023,14.358372,0.0,0.0,34.009113,0.0,59.51,0.0,2.0,7.15
-2.3206396,23.133465,18.748787,0.0,0.0,34.009113,0.0,59.51,0.0,2.0,7.22
-2.4443598,5.647177,14.762494,4.9839787,0.0,28.830717,0.0,116.77,0.0,1.0,6.66
-2.3030915,0.0,17.530308,0.0,0.0,39.13235,0.0,63.24,0.0,2.0,6.39
-2.3035452,0.0,13.139892,0.0,0.0,44.819736,0.0,106.38,0.0,2.0,6.04
-2.3016503,23.133465,18.748787,0.0,0.0,38.33812,0.0,68.3,0.0,2.0,7.15
-2.4282634,0.0,14.762494,0.0,0.0,28.569765,0.0,100.64,0.0,1.0,6.72
-2.2843444,0.0,14.762494,0.0,0.0,28.569765,0.0,100.64,0.0,1.0,6.28
-2.2484603,5.817863,32.1781,13.879512,10.197364,32.766384,0.0,153.61,0.0,1.0,7.57
-2.30613,0.0,13.139892,0.0,0.0,38.906185,0.0,149.52,0.0,2.0,4.89
-2.303568,11.499023,13.139892,0.0,0.0,39.13235,0.0,81.7,0.0,2.0,5.41
-2.2287455,5.817863,28.55484,5.098682,0.0,34.709755,0.0,118.88,0.0,1.0,7.51
-2.3035393,0.0,13.139892,0.0,0.0,62.334232,0.0,63.24,0.0,2.0,5.85
-2.2287495,5.817863,36.972637,5.098682,0.0,44.54701,0.0,153.02,0.0,1.0,7.0
-2.3025224,0.0,13.139892,0.0,0.0,39.13235,0.0,63.24,0.0,2.0,4.85
-1.9341909,5.760247,4.9839787,0.0,12.407033,24.109077,0.0,47.29,0.0,2.0,5.49
-2.3762236,0.0,0.0,11.336786,0.0,22.239712,0.0,30.29,0.0,1.0,5.85
-2.3050966,0.0,13.139892,0.0,0.0,50.73329,0.0,63.24,0.0,2.0,4.85
